item	harness	independent	abs_diff	rel_diff	within_1e-15
W1.price_t0	1.4218162861499586	1.421816286149955	3.552714e-15	2.498715e-15	False
W1.price_t1	1.2050702296184426	1.205070229618439	3.552714e-15	2.948138e-15	False
W2.price_t0	1.5760374316557275	1.5760374316557275	0.000000e+00	0.000000e+00	True
W2.price_t1	1.248543926643105	1.2485439266431086	3.552714e-15	2.845486e-15	False
V_t0	2997.853717805686	2997.853717805682	3.637979e-12	1.213528e-15	False
V_t1	2453.6141562615476	2453.6141562615476	0.000000e+00	0.000000e+00	True
bleed	544.2395615441383	544.2395615441346	3.637979e-12	6.684517e-15	False
